"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2006084283","","50","N","2","1","","2","N","03","Y","FORD","1985","","","","","","","","0","02","2FDJF37G7FC","2","","2","00","N","N","010","0","","1","1","01","10","01","PA","2","5.0","TCB"
"2006084283","","01","N","3","1","","2","N","10","Y","VOLK","2001","","","","","","","","0","01","3VWDC21V61M","1","","1","00","Y","N","040","0","","2","1","01","01","01","PA","1","1.0","PCV"
"2006205114","","51","N","9","9","","9","N","12","Y","TOYT","2003","","","","","","","","0","01","5TEPM62N43Z","1","","9","00","Y","N","999","0","","1","1","99","10","01","PA","1","4.0","TPK"
"2006120072","","50","N","2","1","","1","N","01","U","DODG","1994","","","","","","","","0","02","1B7KC26Z4RS","1","","1","00","N","S","999","0","","1","1","03","01","01","PA","1","4.0","TPK"
"2006120072","","04","N","3","1","","1","N","11","Y","FORD","2005","","","","","","","","0","02","1FAFP34N25W","1","","1","00","Y","W","999","0","","2","1","02","12","01","PA","2","1.0","P4D"
"2006105270","","04","N","3","1","","1","N","04","Y","CHEV","1999","","","","","","","","0","01","2G1WL52M3X9","1","","1","00","Y","W","999","0","","1","1","08","12","04","PA","3","1.0","P4D"
"2006105270","","04","N","3","1","","1","N","01","Y","MITS","1996","","","","","","","","0","01","4A3AJ46G8TE","3","","1","00","Y","E","999","0","","2","1","07","01","03","PA","1","1.0","P4D"
"2006105270","","12","N","1","1","","1","N","01","Y","KIA","","","","","","","","","0","01","KNDMB233566","2","","1","00","N","N","000","0","","3","1","12","03","01","PA","2","7.0","PSV"
"2006075331","","04","N","3","1","","3","N","10","Y","HOND","1995","","","","","","","","0","02","1HGCD5661SA","1","","1","00","Y","W","005","0","","1","1","04","10","09","PA","1","1.0","P4D"
"2006075331","","15","N","3","1","","3","N","01","Y","JEEP","1995","","","","","","","","0","01","1J4GZ58S9SC","1","","1","00","Y","W","030","0","","2","1","02","01","01","PA","1","6.0","TUT"
