"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2008059873","","0","TN","T342161","2008","7","1"
"2009002962","","0","ME","A906130","2006","7","1"
"2008071515","","0","NY","AS18408","2008","7","2"
"2009053426","","0","PA","XT79025","2000","3","2"
"2008136450","","0","PA","GYM8638","2009","1","1"
"2008069010","","0","PA","PT3491M","2008","7","2"
"2008044751","","0","","M","","","1"
"2008101678","","0","ME","102742B","2009","6","1"
"2008027893","","0","PA","XDJ2689","1988","7","1"
"2008027893","","0","TN","U036855","2008","7","2"
"2008019765","","0","","S2J57B","","6","2"
"2008039906","","0","","M","","","1"
"2008039906","","0","","A","","1","2"
"2009053434","","0","PA","XBH2662","2005","7","2"
"2008086048","","0","OK","2746EY","2009","7","2"
"2008096648","","0","","","","7","2"
"2008018329","","0","OK","276J8R","","7","1"
"2008023992","","0","TN","T98OH7S","","6","1"
"2008019455","","0","TN","W61266","2008","7","2"
"2008027278","","0","","QW92Q9","","7","2"
"2008049497","","0","PA","XCE9859","2008","3","2"
"2008077998","","0","","","","7","1"
"2008065886","","0","","????????????","","","1"
"2008090089","","0","TN","TS702699","2008","6","1"
"2008059353","","0","MA","099030","","","1"
"2008110854","","0","PA","XN78753","2009","3","2"
"2008019816","","0","","372BN","","7","1"
"2008001104","","0","PA","XL97756","2008","6","2"
"2008116572","","0","IN","P72071","2008","7","1"
"2008023993","","0","","Q","","","2"
"2008088468","","0","","","","9","1"
"2008116251","","0","ME","1255160","2012","7","1"
"2008091268","","0","OH","","","7","3"
"2008065336","","0","","N005","","1","1"
"2008078425","","0","WI","375581","2008","7","1"
"2008112164","","0","","","","7","2"
"2008118416","","0","PA","DMJ4227","2009","1","1"
"2008104580","","0","IN","P174086","2008","7","2"
"2008110932","","0","PA","XP35085","2009","6","1"
"2008106652","","0","","X5I9JO80","","3","2"
"2008089043","","0","Y","JC","","","1"
"2008089043","","0","Y","11","","","2"
"2008025307","","0","IA","TC6977","2008","7","2"
"2008022502","","0","PA","DSF4687","2008","1","1"
"2008120688","","0","OK","TNNMI6","","6","1"
"2008073189","","0","CO","782-KHS","","3","2"
"2008088708","","0","","","","7","3"
"2008088856","","0","","A","","","2"
"2009006311","","0","MN","I0882B","","7","1"
"2008038418","","0","PA","XCV1480","08","7","2"
"2008064699","","0","","","","9","1"
"2008135529","","0","IL","T434247","2009","7","1"
"2008108533","","0","","I","","","2"
"2008085541","","0","OH","TPA2929","2009","6","2"
"2008042122","","0","","4","","","1"
"2008035550","","0","OH","TNX5900","2008","7","1"
"2008088473","","0","Y","1I","","","1"
"2008100055","","0","PA","XN47303","1997","6","2"
"2008010485","","0","","","","","2"
"2008030390","","0","ME","295317Z","2029","7","1"
"2008083512","","0","PA","XK79547","1108","7","1"
"2008086279","","0","PA","K9726H","","3","1"
"2008122529","","0","IL","363951ST","2009","7","1"
"2008016876","","0","ME","0951832","2009","7","2"
"2008114052","","0","PA","XL0M32","","7","1"
"2008114054","","0","OH","TPB230","","6","2"
"2008115594","","0","IA","TB6586","1988","6","1"
"2008041445","","0","IL","BA000ST","","3","1"
"2008114406","","0","","J","","","3"
"2009053430","","0","","N/A","","8","2"
"2008136030","","0","WI","571552","2008","7","2"
"2008066491","","0","TN","T808778","","7","2"
"2008117038","","0","TN","T9O696I","","6","1"
"2008001142","","0","PA","XL295528","2008","6","1"
"2008003521","","0","","","","1","1"
"2008046551","","0","PA","XL8977PA","2008","7","1"
"2008060434","","0","ZZ","","","9","3"
"2008139644","","0","PA","GWT4619","2009","1","2"
"2008051815","","0","PA","KW12033","2008","7","2"
"2008049010","","0","ZZ","UNKNOWN","2099","7","1"
"2008040667","","0","","A867297","","3","1"
"2008120487","","0","","","","6","2"
"2008070139","","0","PA","GXR3250","2002","1","2"
"2008079400","","0","","RI8SU","","6","1"
"2008070830","","0","PA","8Y97099","","3","2"
"2008042468","","0","IN","597578","1994","7","1"
"2008043304","","0","PE","0IA742","","7","1"
"2008113718","","0","PA","XBE4882","2009","6","2"
"2008112713","","0","NE","1MZW4I","","6","2"
"2008046827","","0","PA","PT5932M","1996","7","1"
"2008098708","","0","PE","XBN0725","2009","3","2"
"2008118512","","0","PA","PT2941K","2008","3","4"
"2008048982","","0","OH","TNM6760","2008","7","2"
"2008059402","","0","PA","XCN8452","2012","6","2"
"2008131776","","0","ZZ","UNKNOWN","2009","7","2"
"2008087444","","0","PA","XDS5258","2009","3","2"
"2008106386","","0","ME","102658A","2008","6","1"
"2008014588","","0","PA","XBG2523","2020","7","2"
"2008076759","","0","IL","T206925","2008","7","4"
"2008051186","","0","IN","P56329","2002","7","2"
"2008041531","","0","","14868Y","","7","1"
