"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2013012614","3.0","2","2","1944.0","0","N","3","2.0","0008","","35.0","BUTLER ST"
"2013109595","","2","02","","0","E","4","4.0","","","25.0","NINTH ST"
"2013109595","3.0","2","2","399.0","0","S","3","2.0","0148","","25.0","WALNUT ST"
"2013064066","1.0","2","2","729.0","0","N","3","1.0","0279","","55.0","EAST STREET VALLEY ET"
"2013040660","1.0","2","2","47.0","0","S","3","2.0","0028","","55.0","ALLEGHENY VALLEY EX"
"2013122494","3.0","2","2","411.0","0","N","3","2.0","0088","","25.0","LIBRARY RD"
"2013015886","","2","02","","0","W","3","4.0","","","25.0","HODGSON AV"
"2013044742","","2","02","","0","W","3","4.0","","","25.0","IVANHOE DR"
"2013061769","1.0","2","2","830.0","0","W","3","2.0","0022","","55.0","SR 0022 SH"
"2013099188","","2","02","","0","N","4","4.0","","","25.0","YOST BL"
"2013099188","","2","02","","0","W","3","4.0","","","15.0","ROCKWOOD AV"
"2013123529","","2","06","","0","N","5","4.0","","","25.0","CENTRE AV"
"2013123529","1.0","2","2","548.0","1","S","3","2.0","8002","","","RAMP M RD"
"2013123529","","2","05","","0","E","4","4.0","","","25.0","WASHINGTON PL"
"2013020912","3.0","2","2","2038.0","0","B","3","2.0","3078","","45.0","BURGETTSTOWN RD"
"2013009045","3.0","2","2","2387.0","0","B","3","2.0","0885","","35.0","CLAIRTON RD"
"2013050952","","2","02","","0","E","3","4.0","","","25.0","BOWER HILL RD"
"2013025646","3.0","2","2","2429.0","0","N","3","2.0","4065","","40.0","HARDT RD"
"2013070854","3.0","2","2","1229.0","0","W","3","2.0","0022","","45.0","NEW WM PENN HW"
"2013030934","","2","02","","0","E","4","4.0","","","45.0","MC NALL RD"
"2013030934","3.0","2","2","310.0","0","B","3","2.0","3071","","40.0","POTATO GARDEN RUN RD"
"2013074364","3.0","2","2","0.0","0","S","3","2.0","4011","","30.0","ROCHESTER RD"
"2013074364","3.0","2","2","0.0","0","B","4","2.0","4042","","45.0","BAYNE WEXFORD RD"
"2013048203","","2","02","","0","S","4","4.0","","","25.0","MCCANDLESS DR"
"2013048203","","2","02","","0","E","3","4.0","","","25.0","BLAZIER DR"
"2013044821","1.0","2","2","2960.0","0","S","3","2.0","0028","","55.0","ALLEGHENY VALLEY EX"
