"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2016086330","N","N","N","N","Y","Y","1","N","N","00600","N","","","","","","","","N","1"
"2016099051","","","","","","","","","","","","","","","","","","","","1"
"2016012613","N","Y","N","Y","Y","Y","9","Y","Y","99999","N","","","","","","","","N","2"
"2016067448","N","Y","U","Y","Y","Y","1","Y","Y","01520","N","","","","","","","","N","2"
"2016020912","N","U","U","N","N","N","0","Y","Y","99999","N","","","","","","","","N","2"
"2016066643","Y","U","U","Y","U","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2016089519","N","N","Y","Y","Y","Y","1","N","Y","00670","N","","","","","","","","N","1"
"2016059547","","","","","","","","","","","","","","","","","","","","2"
"2016045171","","","","","","","","","","","","","","","","","","","","3"
"2016045171","","","","","","","","","","","","","","","","","","","","4"
"2016136069","Y","Y","N","Y","Y","Y","1","Y","Y","00249","N","","","","","","","","N","1"
"2016115487","","","","","","","","","","","","","","","","","","","","2"
"2016075895","","","","","","","","","","","","","","","","","","","","1"
"2016075014","U","Y","U","Y","U","U","1","N","U","00747","N","","","","","","","","N","2"
"2016090592","Y","U","U","U","N","N","0","Y","U","99999","N","","","","","","","","N","1"
"2016075920","N","U","U","U","U","U","9","U","U","00800","N","","","","","","","","N","2"
"2016082836","","","","","","","","","","","","","","","","","","","","2"
"2016064843","Y","Y","U","Y","N","N","0","Y","N","01625","N","","","","","","","","N","1"
"2016036866","U","U","U","U","U","U","9","U","U","00850","N","","","","","","","","N","1"
"2016069821","U","N","U","Y","U","Y","1","N","N","00600","N","","","","","","","","N","1"
"2016073233","N","N","U","N","U","Y","1","Y","N","00599","N","","","","","","","","N","2"
"2016017409","","","","","","","","","","","","","","","","","","","","2"
"2016060922","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","U","1"
"2017001708","N","Y","Y","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","2"
"2016111261","Y","Y","U","Y","N","N","0","Y","Y","01690","Y","N","Y","U","Y","3","Y","Y","N","1"
"2016102030","","","","","","","","","","","","","","","","","","","","1"
"2016031213","N","Y","U","Y","U","Y","1","Y","Y","01200","N","","","","","","","","N","2"
"2016089363","","","","","","","","","","","","","","","","","","","","1"
"2016086892","Y","Y","U","Y","N","N","0","Y","Y","01450","N","","","","","","","","N","1"
"2016046463","N","U","U","Y","U","U","0","Y","Y","01100","N","","","","","","","","N","2"
"2016047600","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2016047600","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","2"
"2016093274","N","Y","U","N","N","N","0","Y","Y","00750","N","","","","","","","","N","1"
"2016085036","N","Y","N","N","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2016070488","N","N","Y","Y","Y","Y","1","N","N","01000","N","","","","","","","","N","1"
"2016057194","N","N","Y","Y","Y","Y","1","Y","Y","00250","N","","","","","","","","N","2"
"2016054360","N","Y","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2016065743","Y","N","Y","Y","Y","Y","1","N","N","99999","N","","","","","","","","N","1"
"2016048337","Y","Y","U","Y","","","0","Y","Y","01200","N","","","","","","","","N","1"
"2016047366","","","","","","","","","","","","","","","","","","","","2"
"2016030365","Y","Y","Y","Y","N","N","0","Y","N","01687","Y","Y","Y","N","N","0","Y","N","N","1"
"2016087414","Y","U","U","Y","U","U","9","Y","N","01690","N","","","","","","","","N","1"
"2016097396","N","Y","Y","N","U","U","9","Y","N","01450","N","","","","","","","","N","2"
"2016075296","N","Y","Y","Y","N","N","0","Y","N","01450","N","","","","","","","","N","1"
"2016024552","N","U","U","U","U","U","9","U","U","00599","N","","","","","","","","N","1"
"2016078676","Y","N","Y","Y","N","N","0","Y","N","01690","Y","N","Y","N","N","0","Y","N","N","2"
"2016066584","Y","U","U","U","N","N","0","Y","U","00700","N","","","","","","","","N","1"
"2016110507","Y","Y","Y","Y","Y","Y","2","Y","Y","00250","N","","","","","","","","N","1"
"2016114537","Y","U","U","Y","N","N","0","U","U","01690","N","","","","","","","","N","2"
"2016077774","Y","U","U","Y","U","U","9","Y","U","99999","N","","","","","","","","N","2"
"2016090865","N","U","U","U","U","U","9","U","U","00600","U","","","","","","","","N","1"
"2016051634","N","Y","Y","Y","Y","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2016051634","N","Y","Y","Y","Y","Y","1","Y","Y","99999","N","","","","","","","","N","2"
"2016080986","","","","","","","","","","","","","","","","","","","","2"
"2016070424","N","U","Y","Y","Y","Y","2","Y","Y","99999","N","","","","","","","","N","1"
"2016040633","N","N","U","Y","U","U","0","Y","Y","01550","N","","","","","","","","N","1"
"2016083358","","","","","","","","","","","","","","","","","","","","2"
