"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2018088945","","2","","","0","E","3","4.0","","","25.0","E SMITHFIELD ST"
"2018026638","","2","","","0","W","4","4.0","","","25.0","5TH AV"
"2018026638","","2","","","0","N","3","4.0","","","25.0","ROSS ST"
"2018081219","","2","","","0","E","5","4.0","","","25.0","GRANT AV"
"2018081219","3.0","2","","1945.0","0","N","3","2.0","0065","","55.0","OHIO RIVER BL"
"2018081219","3.0","2","","1945.0","0","S","4","2.0","0065","","40.0","OHIO RIVER BL"
"2018044500","","2","","","0","E","3","4.0","","","25.0","7TH AV"
"2018044500","","2","","","0","N","4","4.0","","","25.0","GRANT ST"
"2018050166","","2","","","0","S","4","4.0","","","25.0","TENTH ST"
"2018050166","3.0","2","","1815.0","0","S","3","2.0","0837","","25.0","EAST CARSON ST"
"2018024984","3.0","2","","3389.0","0","S","3","2.0","0008","","40.0","WILLIAM FLINN HW"
"2018081949","3.0","2","","422.0","0","N","3","2.0","3069","","35.0","WEST LIBERTY AV"
"2018084739","3.0","2","","75.0","0","W","3","2.0","2063","","40.0","FREY RD"
"2018107503","3.0","2","","710.0","0","W","4","2.0","2058","","35.0","VERONA RD"
"2018107503","3.0","2","","255.0","0","S","3","2.0","0130","","45.0","SANDY CREEK RD"
"2018070576","3.0","2","","7.0","0","U","3","2.0","2031","","40.0","LINCOLN WY"
"2018137107","","2","","","0","E","4","4.0","","","35.0","INDUSTRY DR"
"2018056537","1.0","2","","840.0","0","S","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2019027459","","2","","","0","N","3","4.0","","","25.0","GREENSBURG PK"
"2018085175","","2","","","0","S","3","4.0","","","20.0","GREENRIDGE RD"
"2018087925","1.0","2","","1207.0","0","W","4","1.0","0376","","55.0","PENN LINCOLN PY"
"2018087925","1.0","2","","0.0","0","S","3","1.0","0279","","55.0","PENN LINCOLN PY"
"2018137053","","2","","","0","S","3","4.0","","","25.0","4TH AV"
"2018137053","","2","","","0","E","4","4.0","","","25.0","GRANT ST"
"2018134931","1.0","2","","2318.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2018136778","","2","","","0","W","3","4.0","","","25.0","MONIER RD"
"2018000918","3.0","2","","25.0","0","S","3","2.0","0121","","25.0","GREENTREE RD"
"2018087289","","2","","","0","W","5","4.0","","","15.0","CAMPUS DR"
"2018087289","3.0","2","","1435.0","0","N","3","2.0","3109","","35.0","UNIVERSITY BL"
"2018087289","3.0","2","","1430.0","0","S","4","2.0","3109","","35.0","UNIVERSITY BL"
"2018123313","1.0","2","","1852.0","0","E","3","2.0","0022","","55.0","SR 0022 HW"
"2018047202","3.0","2","","3142.0","0","N","3","2.0","0885","","25.0","SECOND AV"
"2018047202","","2","","","0","E","4","4.0","","","25.0","ELIZABETH ST"
"2018001318","","2","","","0","S","3","4.0","","","25.0","PAINTERS RUN RD"
"2018025188","3.0","2","","973.0","0","E","3","2.0","0022","","55.0","NEW WM PENN HW"
"2018118781","","2","","","0","N","6","4.0","","","25.0","S MAIN ST"
"2018118781","","2","","","0","W","5","4.0","","","35.0","W CARSON ST"
"2018118781","3.0","2","","1813.0","0","N","3","2.0","0051","","35.0","SR 0051 SH"
"2018118781","3.0","2","","835.0","0","E","4","2.0","3106","","35.0","WEST CARSON ST"
"2018001295","3.0","2","","50.0","0","E","3","2.0","3004","","30.0","MCMURRAY RD"
"2018083473","","2","","","0","N","4","4.0","","","25.0","WILLARD ST"
"2018083473","3.0","2","","2367.0","0","W","3","2.0","2031","","35.0","LINCOLN WY"
"2018082306","","2","","","0","W","4","4.0","","","25.0","OAKHAVEN DR"
"2018082306","3.0","2","","480.0","0","N","3","2.0","3074","","35.0","CORAOPOLIS HEIGHTS RD"
"2018079720","3.0","2","","1115.0","0","S","3","2.0","0051","","25.0","SAW MILL RUN BL"
"2018138799","","2","","","0","W","3","4.0","","","25.0","WYLIE AV"
"2018138799","","2","","","0","U","4","4.0","","","25.0","CRAWFORD ST"
"2018061065","1.0","2","","598.0","0","N","3","2.0","0019","","40.0","SAW MILL RUN BL"
"2018075956","","2","","","0","S","3","4.0","","","25.0","MIDDLETOWN RD"
"2018049182","","2","","","0","N","3","4.0","","","25.0","SHADELAND AV"
"2018051281","","2","","","0","S","3","4.0","","","25.0","HOMEHURST AV"
"2018058086","","2","","","0","U","5","4.0","","","","VALLEY AM"
"2018058086","3.0","2","","1792.0","0","E","3","2.0","0051","","45.0","FOURTH AV"
"2018058086","3.0","2","","1805.0","0","W","4","2.0","0051","","45.0","FIFTH AV"
"2018121186","","2","","","0","U","7","4.0","","","35.0","5TH AV"
"2018121186","3.0","2","","0.0","0","N","3","2.0","0008","","35.0","FIFTH AV"
"2018121186","3.0","2","","1108.0","0","E","5","2.0","0400","","30.0","PENN AV"
"2018121186","3.0","2","","0.0","0","S","4","2.0","0008","","35.0","FIFTH AV"
"2018121186","3.0","2","","1135.0","0","W","6","2.0","0400","","35.0","PENN AV"
"2018017108","1.0","2","","0.0","1","N","4","2.0","8055","","35.0","RAMP TO REEDSDALE ST"
"2018017108","1.0","2","","370.0","1","N","3","2.0","8055","","45.0","FR WEST END BR TO 65 RD"
"2018052759","","2","","","0","E","3","4.0","","","25.0","HOFFMAN BL"
"2018136144","","2","","","0","U","5","4.0","","","35.0","BLOOMFIELD BR"
"2018136144","","2","","","0","U","6","4.0","","","25.0","BLESSING ST"
"2018136144","3.0","2","","655.0","0","E","3","2.0","0400","","25.0","BIGELOW BL"
"2018136144","3.0","2","","800.0","0","W","4","2.0","0400","","35.0","BIGELOW BL"
"2018122264","1.0","2","","2391.0","0","N","3","1.0","0279","","55.0","NORTH HILLS EX"
"2018098134","3.0","2","","1760.0","0","N","3","2.0","0837","","55.0","DRAVOSBURG RD"
"2018114183","","2","","","0","S","4","4.0","","","25.0","9TH ST"
"2018114183","","2","","","0","E","3","4.0","","","25.0","FRENCH WY"
"2018107830","1.0","2","","97.0","0","S","3","2.0","0028","","55.0","ALLEGHENY VALLEY EX"
"2018014131","1.0","2","","1543.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
