"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2019005406","","1","0","0","0","0","0","0","0","0","1","0","","02","1","2019","2","40.587034","-79.777525","0757","11","0","0","0","0","1","1","0","0","2","0","0","0","","","0","","0","","40 35:13.323","1","0","79 46:39.091","0","0","0","0","2104","0","0","0","N","0","0","0","3","68D02","0","","1.0","","9","N","N","","0","","0","0","1","","0","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2019001505","","1","0","0","0","0","0","0","0","0","2","0","","02","2","2019","6","40.651993","-80.054866","0950","11","0","0","0","0","0","1","1","0","1","0","0","0","","","0","","1","","40 39:07.175","4","0","80 03:17.516","9","0","0","0","2216","0","0","0","N","0","0","0","2","02505","0","","1.0","","6","N","N","","1","","0","0","0","","2","N","","2","0","0","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
"2019004016","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2019","6","40.440907","-79.927795","0801","11","0","0","0","0","0","0","0","0","3","0","0","0","","","2","","1","","40 26:27.265","6","0","79 55:40.061","4","0","0","0","2301","0","0","0","N","0","0","0","3","02301","2","","1.0","","1","N","N","","0","","0","0","1","","2","Y","","2","2","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2019005310","","2","0","0","0","0","0","0","0","0","6","0","","02","1","2019","1","40.438869","-79.760496","0256","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 26:19.929","","0","79 45:37.786","9","0","0","0","2446","0","0","0","N","0","0","0","2","02446","0","","1.0","","7","N","N","","0","","0","0","0","","2","","","2","0","0","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
"2019006397","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2019","6","40.3811","-79.811895","1513","11","0","0","0","0","0","1","0","0","2","0","0","0","","","1","","0","","40 22:51.959","1","7","79 48:42.821","3","0","0","0","2424","0","0","0","N","0","0","0","2","02424","0","","1.0","","1","N","N","","1","","1","0","0","","0","N","","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2019006426","","3","0","1","0","0","0","0","0","0","1","0","","02","1","2019","6","40.396246","-79.998129","1926","11","0","0","0","0","0","0","0","0","1","0","0","0","","","1","","2","","40 23:46.484","3","0","79 59:53.264","2","0","0","0","2301","0","0","0","N","0","0","0","4","02301","0","","1.0","","9","N","N","","0","","0","1","0","","2","N","","3","1","0","0","0","0","0","2","0","3","","","","N","","","","","","","","","",""
"2019006432","","0","0","0","0","0","0","0","0","0","1","0","","02","1","2019","7","40.518236","-80.004684","1521","11","0","0","0","0","1","0","0","0","1","0","0","0","","","0","","0","","40 31:05.649","1","0","80 00:16.861","0","0","0","0","2116","0","0","0","N","0","0","0","2","02116","0","","1.0","","1","N","N","","0","","0","0","2","","0","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2019006402","","2","0","0","0","0","0","0","0","0","5","0","","02","1","2019","5","40.457138","-79.925773","1607","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","2","","40 27:25.696","","0","79 55:32.782","0","0","0","0","2301","0","0","0","N","0","0","0","2","02301","0","","1.0","","9","N","N","","0","","0","0","0","","0","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2019006405","","1","0","1","0","0","0","0","0","0","4","0","","02","1","2019","5","40.449096","-80.119429","1445","11","0","0","0","0","0","0","0","0","1","0","0","0","","","1","","2","","40 26:56.744","4","0","80 07:09.946","2","0","0","0","2115","0","0","0","N","0","0","0","2","02115","0","","1.0","","9","N","N","","0","","0","1","1","","3","N","","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2019006438","","2","0","0","0","0","0","0","0","0","5","0","","02","1","2019","5","40.42567","-79.942032","1849","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","40 25:32.411","","0","79 56:31.315","0","0","0","0","2301","0","0","0","N","0","0","0","2","02301","0","","1.0","","9","N","N","","0","","0","0","0","","0","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
