"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2019107825","U","U","N","Y","N","N","0","U","U","01690","N","","","","","","","","N","1"
"2019086829","Y","U","U","N","N","N","0","Y","U","01550","N","","","","","","","","N","1"
"2019058640","N","N","U","U","U","N","9","Y","Y","99999","N","","","","","","","","N","1"
"2019034500","N","Y","Y","Y","N","N","0","Y","Y","00600","N","","","","","","","","N","1"
"2019072954","N","N","Y","N","Y","Y","1","Y","Y","00800","N","","","","","","","","N","1"
"2019003094","N","N","N","Y","Y","Y","1","Y","Y","00599","Y","N","Y","Y","Y","1","Y","Y","N","1"
"2019075111","","","","","","","","","","","","","","","","","","","","2"
"2019105417","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2019096625","Y","U","U","U","U","U","9","U","Y","00900","Y","U","U","U","U","9","U","U","N","1"
"2019080348","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2019105485","","","","","","","","","","","","","","","","","","","","2"
"2019079781","Y","N","Y","Y","U","Y","3","Y","N","00600","N","","","","","","","","N","1"
"2019077526","","","","","","","","","","","","","","","","","","","","2"
"2019074187","N","Y","U","Y","Y","Y","1","Y","Y","01150","Y","N","Y","N","Y","1","N","Y","N","2"
"2019071450","Y","Y","U","U","","","0","Y","N","99999","N","","","","","","","","N","2"
"2019080610","Y","Y","U","Y","Y","Y","3","Y","Y","01449","Y","Y","Y","Y","Y","3","Y","Y","N","1"
"2019085479","Y","Y","U","Y","Y","Y","1","Y","Y","01450","N","","","","","","","","N","1"
"2019072363","","","","","","","","","","","","","","","","","","","","1"
"2019102680","N","U","U","U","Y","Y","1","Y","Y","01200","N","","","","","","","","N","2"
"2019094768","U","N","U","Y","Y","Y","2","Y","Y","01584","N","","","","","","","","N","2"
"2019076737","","","","","","","","","","","","","","","","","","","","1"
"2019070395","N","N","N","U","N","N","0","N","N","00750","N","","","","","","","","N","1"
"2019064428","N","Y","U","N","N","N","0","Y","N","00883","N","","","","","","","","N","1"
"2019119325","N","Y","Y","Y","Y","Y","1","Y","Y","00649","N","","","","","","","","N","1"
"2019083017","U","U","U","N","N","N","0","N","N","01200","N","","","","","","","","N","1"
"2019070851","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019084989","","","","","","","","","","","","","","","","","","","","1"
"2019094864","Y","Y","Y","Y","U","Y","1","Y","U","01338","N","","","","","","","","N","1"
"2019054033","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2019085886","N","Y","Y","Y","N","Y","1","Y","Y","00800","N","","","","","","","","N","1"
"2019077385","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2019063119","","","","","","","","","","","","","","","","","","","","2"
"2019031598","N","Y","U","Y","Y","Y","1","Y","Y","27000","N","","","","","","","","N","1"
"2019060639","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019036269","Y","Y","Y","Y","N","N","0","Y","Y","00088","Y","Y","Y","N","N","0","Y","Y","N","2"
"2019080352","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","U","1"
"2019053274","Y","N","U","N","U","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2019053274","N","N","U","N","U","Y","1","Y","Y","00820","N","","","","","","","","N","2"
"2019091158","U","Y","U","N","N","N","0","Y","Y","01200","N","","","","","","","","U","1"
"2019085551","Y","Y","U","Y","N","N","0","Y","Y","13380","Y","Y","U","N","N","0","Y","N","N","1"
