"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2019091933","","0","","","","1","2"
"2019127185","","0","PA","XFY9280","2020","7","1"
"2019079233","","0","NY","64809","","6","2"
"2019053942","","0","VA","USE6643","2020","1","2"
"2019135195","","0","WV","C383977","2020","7","1"
"2019045614","","0","PA","PT3917Z","2020","7","4"
"2019012312","","0","OK","9584KQ","2019","7","1"
"2019116524","","0","PA","XDR5960","2019","3","1"
"2019113842","","0","PA","PT546B8","2020","3","3"
"2019110542","","0","","","","1","1"
"2019033518","","0","IN","P255084","2019","7","1"
"2019118475","","0","TN","U544271","2020","3","2"
"2019126202","","0","PA","YXX8492","2020","2","2"
"2019108938","","0","ME","2484484","2024","7","1"
"2019123911","","0","PA","JXR0309","2021","","2"
"2019026166","","0","IN","P598567","2019","6","2"
"2019005000","","1","ME","2267564","","7","1"
"2019085890","","0","ME","27TL59862","2020","7","1"
"2019064277","","0","PA","PT07852","2015","7","2"
"2019092813","","0","MN","6450STP","","7","5"
"2019017695","","0","OH","TRC7054","2019","6","2"
"2019086619","","0","ME","2836964","2019","7","2"
"2019101855","","0","ME","2037213","2019","7","2"
"2019119725","","0","PA","XLP0983","2007","7","1"
"2019097296","","0","ON","P5967P","","7","1"
"2019118857","","0","PA","PT097F9","2019","7","1"
"2019062227","","0","TN","T671237","1994","7","1"
"2019062227","","0","ON","R8071J","2020","7","2"
"2019050635","","0","IN","TR443ZSS","2019","3","1"
"2020001038","","0","","","","9","1"
"2019027825","","0","PA","PT554F0","2019","7","2"
"2019072496","","0","IA","DE3930","2020","7","1"
"2019094079","","0","PA","XLH8524","2020","3","1"
"2019117679","","0","PA","","","1","1"
"2019061202","","0","PA","HYZ2751","2011","1","1"
"2019078023","","0","PA","KZZ6308","","1","1"
"2019120127","","0","","","","1","1"
"2019069434","","0","PA","PT834D9","2099","7","1"
"2019002455","","0","PA","PT9891Y","2004","6","1"
"2019006977","","0","PA","PT7292R","9999","7","2"
"2019067423","","0","OH","PT8657T","2000","7","1"
"2019050342","","0","PA","KSE4685","2019","1","1"
"2019050342","","0","","","","1","2"
"2019128604","","0","OH","TQS6811","2006","7","1"
"2019081234","","0","PA","XY35868","2019","7","1"
"2019100541","","0","VA","17088HM","2019","1","2"
"2019058224","","0","PA","DRN7518","2019","1","2"
"2019058224","","0","PA","DCP8933","2019","1","3"
"2019097566","","0","PA","XJV6312","2020","3","2"
"2019124550","","0","WI","93178X","2020","7","2"
"2019013458","","0","OH","TQV4773","2019","7","2"
"2019098765","","0","PA","ZHW9632","2019","2","2"
"2019098765","","0","PA","PZK111C","2020","1","3"
"2019023979","","0","OR","HV20218","2019","7","2"
"2019059932","","0","GA","TT18J60","2020","7","2"
"2019122559","","0","ON","","","1","1"
"2019115903","","0","WI","704557","2016","7","2"
"2019076277","","0","PA","KWH6669","2019","1","2"
"2019019110","","0","PA","PT6091Y","2019","7","2"
"2019066192","","0","NC","AE59663","2019","7","2"
"2019021833","","0","TN","T362035","2020","7","1"
"2019047445","","0","PA","KXP4738","2019","1","2"
"2019096788","","0","ME","226074E","2020","7","1"
"2019096749","","0","PA","PT8555K","2019","3","3"
"2019059187","","0","","","","9","1"
"2019067420","","0","ZZ","","","7","3"
"2019067420","","0","ZZ","","","7","4"
"2019113360","","0","PA","KCR0032","2011","1","2"
"2019113360","","0","PA","KVC3726","1999","1","3"
"2019113360","","0","PA","KSY2364","2009","1","4"
"2019025244","","0","","","","1","1"
"2019094120","","0","OH","TRK1040","2019","6","2"
"2019038170","","0","PA","JDK0456","2019","1","2"
"2019038170","","0","PA","JYA1728","2019","1","3"
"2019025535","","0","AL","A075737","9999","7","2"
"2019064811","","0","ME","2149565","2020","7","2"
"2019057665","","0","PA","KKC2481","2019","1","2"
"2019039066","","0","PA","GZM7398","2019","1","1"
"2019120428","","0","ON","L90424","2019","7","1"
"2019120253","","0","PA","XJK7420","2020","3","4"
"2019057734","","0","PA","PT6980","2019","6","1"
"2019070996","","0","NJ","TUY70J","2020","7","1"
"2019085885","","0","ON","L1388M","2019","7","1"
"2019062063","","0","PA","XHB7799","","3","1"
"2020003111","","0","PA","KWE8631","2018","1","2"
"2019052545","","0","PA","XLD6616","2019","3","1"
"2019041080","","0","MD","51323TL","","6","1"
"2019051148","","0","PA","YJL7559","2019","3","2"
"2019135237","","0","IL","410535ST","2020","7","2"
"2019044973","","0","","","","1","1"
"2019078859","","0","PA","XJW1267","2020","3","2"
"2019043988","","0","ME","365677Z","2036","7","2"
"2019012605","","0","IN","P543631","2018","7","1"
"2019042295","","0","PA","XKL6397","2019","7","2"
"2019101889","","0","IN","P753622","2020","7","1"
"2019094059","","0","WI","CA90923","2019","8","1"
"2019023732","","0","IN","","2019","7","2"
"2019103418","","0","PA","XKN3947","2011","7","1"
"2019073075","","0","PA","PT512B9","2019","7","2"
"2019101162","","0","PA","KSD1297","2020","1","2"
"2019125576","","0","PA","XMC9683","2016","7","1"
"2019030742","","0","ZZ","UNKNOWN","9999","7","2"
"2019039887","","0","PA","PT8294L","2019","7","1"
"2019109908","","0","ZZ","","","7","1"
"2019099290","","0","TX","Y98119","2019","6","2"
"2019067901","","0","PA","XJM0894","2019","3","1"
"2019067901","","0","IN","P22251","2020","7","2"
"2019054786","","0","PA","PT568E9","2019","7","2"
"2019037627","","0","PA","XLE7500","2020","3","2"
"2019086599","","0","TN","U726528","2017","7","1"
"2019008335","","0","ME","218145A","2011","7","1"
"2019106316","","0","TN","U098136","2019","7","2"
"2019128058","","0","PA","LCJ1645","2020","1","2"
"2019133495","","0","PA","PT6518K","2020","7","1"
"2019106704","","0","TN","U446540","2014","7","1"
"2019072697","","0","OH","TRG7668","2020","7","1"
"2019026164","","0","PA","PT8328V","2019","7","2"
"2019073247","","0","OR","HV08643","2019","7","2"
"2019105944","","0","PA","XK62892","2020","6","1"
"2019106496","","0","IN","SP248KAR","","7","2"
"2019128608","","0","WV","C223254","2020","7","1"
"2019048502","","0","PA","AG71188","2009","7","1"
"2019077085","","0","PA","7371Z","2020","7","6"
"2019110785","","0","VA","573674TL","2019","7","4"
"2019094578","","0","FL","2634CY","2019","7","1"
"2019078101","","0","CA","4SL2467","2018","7","1"
"2019063363","","0","PA","XKT4572","2019","6","1"
"2019130314","","0","","","","7","2"
"2019033331","","0","PA","PT247A2","2020","7","1"
"2019065200","","0","PA","XLJ9627","2015","6","1"
"2019064916","","0","","","","8","3"
"2019087094","","0","IN","P350059","2019","7","2"
"2019066511","","0","WA","93402AA","2019","7","3"
"2020018371","","0","ZZ","999999999999","9999","7","2"
"2019134751","","0","PA","PT2650Z","2017","6","1"
"2019084887","","0","ME","20TLR62780","2019","7","2"
"2019040312","","0","PA","","","1","2"
"2019054755","","0","PA","PT176D7","2015","7","2"
"2019019438","","0","IL","634557ST","2018","7","1"
"2019063641","","0","PA","XBM65229","1975","3","2"
"2019069237","","0","PA","XJS0423","2021","3","1"
"2019100590","","0","IL","418481ST","2019","7","2"
"2019123629","","0","PA","PT2647L","2099","7","1"
"2019108390","","0","PA","AF79326","2022","6","2"
"2019055211","","0","PA","XFY9966","2019","7","1"
"2019097023","","0","PA","PT171H4","2019","3","1"
"2019050028","","0","VA","847959TR","2020","7","1"
"2019040755","","0","PA","PT113F0","9999","7","1"
"2019076855","","0","OR","HV01652","2019","7","2"
"2019127437","","0","PA","XJS8037","2020","6","1"
"2019094564","","0","IL","678482ST","2020","7","1"
"2019067769","","0","","","","1","1"
"2019031627","","0","TN","U308130","2019","7","3"
"2019059676","","0","OH","TRA2286","2019","7","1"
"2019010577","","0","MD","250127X","1997","6","1"
"2019070131","","0","PA","LBK8851","","1","2"
"2019030169","","0","PA","PT361A6","2019","7","1"
"2019082337","","0","NJ","TNT38H","2023","7","2"
"2019021977","","0","TN","T865102","9999","7","1"
"2019006283","","0","TN","T644079","2019","7","2"
"2019064807","","0","IN","P469121","2019","7","1"
"2019087485","","0","PA","XNJ4211","2019","3","1"
"2019073072","","0","PA","KMA7309","2020","1","1"
"2019027366","","0","WV","C82511","2019","7","1"
"2019008577","","0","PA","AG31164","2019","6","1"
"2020009106","","0","TN","U571731","2020","7","1"
"2019110673","","0","PA","XLY4357","2019","3","2"
"2019084202","","0","PA","XKJ7461","2020","3","2"
"2019129597","","0","PA","JZT9590","2020","1","2"
"2019129597","","0","PA","KSZ5535","2021","1","3"
"2019091590","","0","IL","P549947","2019","7","1"
"2019112739","","0","PA","KZD7746","2020","1","2"
"2019103339","","0","ON","P9948M","2019","6","3"
"2019094076","","0","PA","PT903D8","2019","7","2"
"2019053725","","0","","","","1","1"
"2019056888","","0","MI","","","6","3"
"2019013413","","0","ME","2455257","2019","7","1"
"2019069525","","0","VA","4155PE","9999","2","2"
"2019058630","","0","PA","","","2","2"
"2019046795","","0","ZZ","999999999999","","7","1"
"2020002827","","0","ME","2836765","2028","7","3"
"2019128915","","0","PA","PT7731R","","7","1"
"2019041671","","0","PA","","","1","1"
"2019051223","","0","PA","JPZ2660","2019","1","2"
"2019105463","","0","PA","XMB9266","2020","3","2"
"2019065569","","0","PA","XLV9790","2019","3","1"
"2019044894","","0","MI","D750318","2020","7","1"
"2019117522","","0","NJ","TRY49K","2020","7","1"
"2019051877","","0","ZZ","","","7","1"
"2019111696","","0","","","","1","2"
"2019069215","","0","PA","PT768G8","2019","7","1"
"2019120285","","0","ME","20TLR3155E","2019","7","2"
"2019060921","","0","QC","RE80627","2019","7","2"
"2019056228","","0","ON","F9755V","2027","7","3"
"2019087224","","0","OH","506YDJ","2022","3","1"
"2019087224","","0","KY","TEMP TAG","2019","3","2"
"2019087224","","0","PA","XHL1869","2019","3","3"
"2019064806","","0","TN","U764851","2020","6","4"
"2019003486","","0","IN","P549910","2019","6","2"
"2019042794","","0","ZZ","999999999999","9999","7","1"
"2019087623","","0","PA","","","1","1"
"2019089886","","0","IN","P517693","2020","7","3"
"2019097482","","0","ZZ","UNKNOWN","2019","7","2"
"2019064861","","0","ZZ","UNKNOWN","2099","7","2"
"2019087636","","0","PA","KVR0192","2019","1","3"
"2019111451","","0","","","","1","3"
"2019045164","","0","","","","1","2"
"2019033301","","0","PA","PT837B5","2099","7","1"
"2019034127","","0","PA","PT2734Y","2019","7","3"
"2019134268","","0","PA","JFX8124","2020","1","2"
"2019062565","","0","PA","PT893F5","2018","3","2"
"2019046095","","0","PA","HXH6164","2021","1","1"
"2019049122","","0","PA","PT43309","2019","7","3"
"2020000621","","0","ME","216716E","","7","2"
"2019127328","","0","ME","208352A","2018","6","1"
"2019113104","","0","MN","7575STU","2020","7","1"
"2019037167","","0","ZZ","UNKNOWN","2099","3","1"
"2019022781","","0","PA","PT543E0","2019","7","1"
"2019042816","","0","TN","U651417","2099","7","1"
"2019015561","","0","OK","1251JN","2019","7","2"
"2019059625","","0","MI","D791904","2019","7","1"
"2019116786","","0","ZZ","UNK","2019","8","1"
"2019101720","","0","NE","13723W","2019","7","2"
"2019035409","","0","PA","PT329A8","2019","7","2"
"2019033387","","0","","","","7","1"
"2019124061","","0","PA","XJH7776","2020","7","1"
"2019115205","","0","PA","PT609B6","2019","3","2"
"2019109876","","0","PA","","","1","2"
"2019116726","","0","PA","","","","2"
"2019023115","","0","PA","JSZ1994","2019","1","1"
"2019023115","","0","PA","JYR4094","2019","1","3"
"2019023115","","0","PA","HKK8374","2019","1","4"
"2019023115","","0","NJ","S59HGS","2018","1","5"
"2019038017","","0","PA","","","1","1"
"2019051183","","0","PA","XLM4202","2020","7","2"
"2019106961","","0","PA","XCE7392","2019","3","1"
"2019106961","","0","ME","2848111","2028","7","2"
"2019125409","","0","","","","7","2"
"2019088917","","0","PA","XGD3316","2020","7","1"
"2019059368","","0","PA","PT047B3","2016","7","1"
"2019080393","","0","PA","PT6852X","2014","7","3"
"2019027761","","0","IN","P469743","2019","7","2"
"2019045828","","0","PA","","","1","1"
"2019037667","","0","ME","24TLR4500A","2019","7","1"
"2019101145","","0","PA","XLH0623","2018","3","2"
"2019038402","","0","IN","P517990","2019","7","1"
"2019062580","","0","OK","4441GS","2009","7","1"
"2019053454","","0","PA","XLC2733","2022","6","2"
"2019070213","","0","PA","XLP8820","2019","3","2"
"2019048218","","0","PA","","","1","1"
"2019047962","","0","ZZ","","","7","1"
"2019134760","","0","ME","2562380","2007","6","2"
"2019134760","","0","MA","2268649","2007","7","3"
"2019118565","","0","PA","KVE0202","2019","1","4"
"2019028435","","0","ON","R942OT","2019","6","2"
"2019036113","","0","IL","611347ST","2018","7","3"
"2019072152","","0","IN","U151812","2019","7","1"
"2019125029","","0","PA","","","1","2"
"2019012459","","0","DE","T32757","2020","7","2"
"2019086849","","0","PA","XJV9049","2020","3","2"
"2019104692","","0","PA","XGD0463","2019","7","1"
"2019108407","","0","OH","TQT8935","2020","7","2"
"2019008300","","0","PA","PT8625Y","2019","6","1"
"2019087143","","0","ZZ","NONE","2020","3","1"
"2020016439","","0","PA","XHV0931","1999","7","2"
"2019014253","","0","IN","703","2018","7","1"
"2020005862","","0","PA","XBE0939","2020","3","2"
"2019035041","","0","ID","TH3645","2019","7","1"
"2019085756","","0","IL","T542931","2020","7","1"
"2019127188","","0","PA","XKX2312","2019","3","3"
"2019115155","","0","WI","709536","2020","7","1"
"2019023794","","0","PA","XKA1758","2019","3","1"
"2019128142","","0","PA","","2019","7","1"
"2019054695","","0","PA","5FM15","2018","8","2"
"2019048855","","0","PA","XDN0310","2019","6","2"
"2019064783","","0","PA","PT6068W","2099","7","1"
"2019064783","","0","PA","PT29447","2099","7","2"
"2019070454","","0","PA","PT329A4","9999","7","2"
"2019006131","","0","IN","P412470","2019","6","1"
"2019101154","","0","ME","275726Z","2018","7","1"
"2019027370","","0","OH","TQM3811","2019","6","1"
"2019120738","","1","","","","9","1"
"2019122836","","0","PA","ZLB5651","19","2","2"
"2019122836","","0","PA","KDB9957","19","1","3"
"2019007528","","0","PA","XKW3223","2013","7","1"
"2019007528","","0","PA","PT4641Z","2016","6","2"
"2019114376","","0","PA","PT070E2","2020","3","1"
"2019122883","","0","","","","1","2"
"2019110227","","0","IN","P202910","2010","7","1"
"2019122004","","0","PA","AF25193","2020","7","2"
"2019008334","","0","IN","2506685","2019","6","2"
"2019079792","","0","AL","58TR405A","2019","7","1"
"2019084984","","0","IN","P355673","99","7","1"
"2019088053","","0","IL","686132","2020","7","1"
"2019062891","","0","PA","FP18342","2021","2","2"
"2019087916","","0","ZZ","","","7","1"
"2019087497","","0","ME","2433151","2019","7","1"
"2019100645","","0","PA","XLZ2807","2020","7","1"
"2019130736","","0","","8728032","","7","2"
"2019040611","","0","ZO","ON41028","9999","3","2"
"2019131901","","0","PA","6","21","1","2"
"2019039527","","0","","","","1","1"
"2019045753","","0","NJ","TUE17V","2019","7","1"
"2019111720","","0","","","","9","1"
"2019115918","","0","PA","PT340H5","2020","7","2"
"2019009721","","0","IN","P203093","2002","6","2"
"2019128560","","0","PA","XJV5445","2020","7","2"
"2019120802","","0","","","","1","2"
"2019085147","","0","PA","AG19353","2020","7","1"
"2019133390","","0","PA","XMA8241","","3","3"
"2019082445","","0","IN","P513067","2015","7","2"
"2019081485","","0","IN","P530100","","7","1"
"2019115602","","0","ME","206013A","2020","7","2"
"2019133774","","0","PA","XLT3708","","3","5"
"2019123398","","0","","","","1","2"
"2019026370","","0","OK","BD4298","2018","7","1"
"2019082983","","0","PA","XY89695","2024","6","1"
"2019123993","","0","ME","2084331","2020","7","1"
"2019081067","","0","PA","XKF5800","2020","3","1"
"2019031562","","0","OH","TRE1476","2019","7","1"
"2019038901","","0","IN","P472431","2019","7","1"
"2019058625","","0","PA","KNC2235","2019","1","2"
"2019014272","","0","PA","","","1","1"
"2019078723","","0","IL","479089ST","2022","7","1"
"2019054587","","0","PA","PT6828S","","7","1"
