"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2019068244","","04","N","3","1","","1","N","01","Y","CHEV","2015","","","","","","","","0","01","1G11C5SL7FF","1","","3","00","Y","N","999","0","","1","1","05","17","09","PA","1","1.0","P4D"
"2019068244","","73","N","9","2","","1","N","07","Y","FORD","2007","","","","","","","","1","","3FRML55Z67V","0","","1","00","N","","000","0","","2","2","03","06","98","PA","2","4.0","TTB"
"2019075544","","15","N","3","1","","1","N","12","Y","VOLV","2013","","","","","","","","0","01","YV4952CZXD1","1","","1","00","Y","S","999","0","","1","1","02","01","03","PA","1","6.0","T4W"
"2019075544","","69","N","3","1","","1","N","06","Y","SUBA","2018","","","","","","","","0","02","JF2GTABC9JH","1","","1","00","Y","S","000","0","","2","1","12","03","03","PA","3","6.0","T"
"2019075544","","04","N","1","1","","1","N","06","Y","PONT","2008","","","","","","","","0","02","2G2WP552581","1","","1","00","N","S","000","0","","3","1","01","03","03","PA","2","1.0","P4D"
"2019074596","","04","N","2","1","","1","N","12","Y","DODG","2013","","","","","","","","0","01","1C3CDZAB3DN","2","","1","00","N","N","999","0","","1","1","01","12","01","PA","1","1.0","P4D"
"2019074596","","09","N","3","1","","1","N","09","Y","HOND","2018","","","","","","","","0","01","1HGCV1F15JA","2","","1","00","Y","N","999","0","","2","1","02","01","01","DE","3","1.0","P"
"2019074596","","04","N","3","2","","1","N","01","Y","MAZD","2009","","","","","","","","1","","1YVHP82A195","2","","1","00","Y","","000","0","","3","2","03","06","98","PA","2","1.0","P4D"
"2019001992","","15","N","3","1","","2","N","01","Y","STRN","2007","","","","","","","","0","01","5GZCZ53477S","1","","1","00","Y","N","999","0","","1","1","05","01","06","PA","1","6.0","T4W"
"2019001992","","40","N","1","1","","2","N","07","Y","HOND","2010","","","","","","","","0","01","5FNRL3H44AB","2","","1","00","N","N","999","0","","2","1","08","02","06","PA","2","7.0","TSV"
"2019116689","","03","N","3","1","","1","N","11","Y","FIAT","2012","","","","","","","","0","01","3C3CFFCR2CT","1","","1","00","Y","S","999","0","","1","1","05","02","01","VA","2","1.0","P2H"
"2019116689","","15","N","3","1","","1","N","08","Y","JEEP","2015","","","","","","","","0","01","1C4RJFBG4FC","2","","1","00","Y","E","025","0","","2","1","05","12","04","WV","1","6.0","T4W"
"2019093240","","04","N","3","1","","1","N","12","Y","HOND","2007","","","","","","","","0","02","1HGCM56867A","1","","1","00","Y","N","999","0","","1","1","01","12","04","PA","1","1.0","P4D"
"2019093240","","15","N","3","1","","1","N","01","Y","FORD","2003","","","","","","","","0","02","1FMZU73K83U","1","","1","00","Y","S","000","0","","2","1","05","03","03","PA","2","6.0","T4W"
"2019008944","","04","N","1","1","","1","N","02","Y","BUIC","2006","","","","","","","","0","01","2G4WC582461","1","","1","00","N","W","999","0","","1","1","07","12","04","PA","2","1.0","P4D"
"2019008944","","04","N","3","1","","1","N","01","Y","CHEV","2013","","","","","","","","0","02","1G1JA5SG3D4","1","","1","00","Y","E","999","0","","2","1","01","01","06","PA","1","1.0","P4D"
"2019073368","","15","N","2","1","","1","N","12","Y","JEEP","2012","","","","","","","","0","02","1C4HJWDG6CL","1","","1","00","Y","E","999","0","","1","1","05","01","01","PA","1","6.0","T4W"
"2019073368","","05","N","3","1","","1","N","05","Y","CHEV","2017","","","","","","","","0","01","1G1RA6S55HU","1","","1","00","Y","N","999","0","","2","1","03","13","07","PA","2","1.0","P4H"
