"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2017024002","","1","0","0","0","0","0","0","0","0","4","0","","02","3","2017","6","40.451661","-80.027856","","11","0","0","0","0","0","0","1","0","","0","0","0","","","1","","2","","40 27:05.981","","0","80 01:40.282","4","0","0","0","2301","0","0","0","N","0","0","0","2","02301","1","","1.0","","1","N","N","","0","","0","0","1","","0","","","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017028655","","0","0","1","0","0","0","0","0","0","4","0","","02","3","2017","4","40.518979","-80.004788","","11","0","0","0","0","0","0","1","0","2","0","0","0","","","3","","1","","40 31:08.323","1","0","80 00:17.238","2","0","0","0","2116","0","0","0","N","0","0","0","4","02116","1","","1.0","","9","N","N","","0","","1","1","2","","2","Y","","2","3","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017008599","","1","0","0","0","0","0","0","0","0","7","0","","02","1","2017","5","40.304342","-79.86815","","11","0","0","0","0","0","0","0","0","2","0","0","0","","","0","","0","","40 18:15.630","5","0","79 52:05.341","0","0","0","0","2443","0","0","0","","0","0","0","1","02443","0","","1.0","","1","N","N","","0","","0","0","0","","0","Y","","1","0","1","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2017011825","","2","0","0","0","0","0","0","0","0","4","0","","02","1","2017","3","40.456229","-79.997491","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 27:22.423","","8","79 59:50.967","0","0","0","0","2301","0","0","0","N","0","0","0","3","02301","0","","1.0","","1","N","N","","0","","0","0","0","","2","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017011313","","1","0","0","0","0","0","0","0","0","1","0","","02","1","2017","5","","","","11","0","0","0","0","0","1","1","0","1","0","0","0","","","0","","0","","","6","0","","0","0","0","0","2479","0","0","0","N","0","0","0","2","02501","0","","1.0","","1","N","N","","1","","0","0","0","","0","N","","2","0","0","0","0","0","0","1","0","2","","","","N","","","","","","","","","",""
"2017001955","","1","0","0","0","0","0","0","0","0","7","0","","02","1","2017","3","40.435436","-79.748261","","11","0","0","0","0","0","0","0","0","","0","0","0","","","2","","0","","40 26:07.570","","2","79 44:53.740","3","0","0","0","2446","0","0","0","","0","0","0","5","68T02","0","","7.0","","1","N","N","","0","","2","0","0","","0","","","1","2","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2017031359","","1","0","0","0","0","0","0","0","0","1","0","","02","3","2017","5","40.484242","-79.907891","","11","0","0","0","0","0","0","0","0","1","0","0","0","","","0","","1","","40 29:03.272","4","0","79 54:28.407","0","0","0","0","2301","0","0","0","N","0","0","0","2","02301","0","","1.0","","1","N","N","","0","","0","0","1","","2","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017002374","","0","0","0","0","0","0","0","0","0","7","0","","02","1","2017","6","40.449323","-80.002473","","11","0","0","1","0","0","0","0","0","1","0","0","0","","","0","","0","","40 26:57.562","3","2","80 00:08.902","9","0","0","0","2301","0","0","0","N","0","0","0","1","02301","0","","1.0","","7","N","N","","1","","0","0","0","","0","Y","","1","0","0","0","0","0","1","2","0","1","","","","N","","","","","","","","","",""
"2017028735","","1","0","0","0","0","0","0","0","0","4","0","","02","3","2017","5","40.530126","-80.018093","","11","0","0","1","0","0","0","0","0","","0","0","0","","","0","","2","","40 31:48.454","","0","80 01:05.136","0","0","0","0","2116","0","0","0","N","0","0","0","2","02116","0","","1.0","","1","N","N","","1","","0","0","0","","2","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017011691","","0","0","0","0","0","0","0","0","0","7","0","","02","1","2017","6","40.550917","-79.955278","","11","0","0","0","0","0","0","1","0","1","0","0","0","","","1","","0","","40 33:03.300","3","0","79 57:19.000","3","0","0","0","2118","0","0","0","N","0","0","0","2","02118","0","","2.0","","9","N","N","","0","","1","0","1","","0","Y","","1","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
