"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2024071116","N","N","Y","Y","Y","Y","1","Y","N","00750","N","","","","","","","","N","1"
"2024071363","Y","Y","Y","N","N","N","0","Y","N","15000","Y","Y","N","N","N","0","Y","N","N","1"
"2025018322","N","U","U","Y","U","Y","1","Y","N","30000","N","","","","","","","","N","1"
"2024060484","N","N","Y","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2024088270","N","U","U","Y","U","U","1","Y","Y","60000","N","","","","","","","","N","1"
"2024080874","N","Y","Y","N","Y","Y","1","Y","U","00700","N","","","","","","","","N","1"
"2024094592","Y","Y","Y","N","N","U","0","Y","Y","12500","N","","","","","","","","N","1"
"2024062712","Y","U","U","U","U","U","3","Y","Y","01500","N","","","","","","","","N","1"
"2024062405","N","N","U","N","N","N","0","Y","N","00250","Y","N","N","N","N","0","Y","N","N","1"
"2024057619","N","N","U","N","U","Y","1","Y","Y","00500","N","","","","","","","","N","1"
"2024040586","N","U","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2024067273","N","U","Y","U","U","N","0","Y","U","01200","N","","","","","","","","N","1"
"2024085870","N","N","U","Y","U","Y","1","N","Y","88300","N","","","","","","","","N","2"
"2024058115","Y","U","Y","Y","Y","Y","1","Y","Y","00649","N","","","","","","","","N","1"
"2024089139","Y","U","U","N","U","U","1","Y","N","01500","Y","Y","N","U","U","1","Y","N","N","1"
"2024020847","Y","Y","U","U","U","U","9","Y","U","01450","N","","","","","","","","N","1"
"2024040302","N","Y","Y","Y","N","","0","Y","Y","01449","N","","","","","","","","N","1"
"2024075894","N","N","U","N","Y","Y","1","Y","N","00660","N","","","","","","","","N","4"
"2024089145","","","","","","","","","","","","","","","","","","","","1"
"2024029011","Y","Y","Y","Y","Y","Y","1","Y","Y","00975","Y","Y","Y","Y","Y","1","Y","Y","N","2"
"2024040104","N","Y","U","Y","Y","N","1","Y","Y","00636","N","","","","","","","","N","1"
"2024040104","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","2"
"2024053774","N","Y","Y","Y","Y","Y","1","Y","Y","18000","Y","Y","Y","Y","Y","1","Y","Y","N","1"
"2024049739","N","Y","U","Y","Y","Y","1","Y","Y","00800","N","","","","","","","","N","2"
"2024066327","Y","Y","N","N","N","N","0","Y","N","00583","N","","","","","","","","N","1"
"2024064784","Y","Y","U","Y","Y","Y","1","Y","N","18000","N","","","","","","","","N","2"
"2024088422","N","Y","U","Y","Y","Y","1","Y","Y","89000","N","","","","","","","","N","2"
"2024075788","Y","Y","U","Y","U","Y","1","Y","Y","17466","N","","","","","","","","N","2"
"2024069665","Y","U","U","Y","Y","Y","1","Y","U","01100","N","","","","","","","","N","1"
"2024081933","N","Y","U","Y","Y","Y","1","Y","Y","00636","Y","N","Y","Y","Y","1","Y","Y","N","2"
"2024080149","N","N","N","N","N","N","0","N","Y","99999","Y","N","N","N","N","0","Y","Y","N","1"
"2024060797","","","","","","","","","","","","","","","","","","","","1"
"2024088369","N","U","U","U","U","U","1","Y","U","39900","N","","","","","","","","N","1"
"2024096233","N","U","U","U","U","Y","1","U","U","00750","N","","","","","","","","N","2"
"2024084981","U","U","U","U","U","U","1","Y","N","46000","N","","","","","","","","U","2"
"2024044801","N","U","U","Y","U","N","1","U","U","59998","N","","","","","","","","N","1"
"2024070857","N","U","U","U","U","U","1","N","U","00937","N","","","","","","","","N","2"
"2024070857","U","U","U","U","U","U","1","U","U","00937","N","","","","","","","","N","3"
"2024084003","N","Y","Y","Y","Y","Y","3","Y","Y","01000","N","","","","","","","","N","2"
"2024046743","Y","U","U","Y","U","Y","1","Y","Y","00883","N","","","","","","","","N","1"
