"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2023013608","05","1","308 W DIVISION ST","","REMINGTON","IN","47977","SUNDOWNER EXPRESS INC","2192083032","080000","","","","","N","","","","","","","99","560235","00","","","","1","2","01487723","08"
"2023031895","03","3","4846 STREETS RUN RD","","PITTSBURGH","PA","15236","CHAPON'S GREENHOUSE & SUPPLY","4128811520","","","","","","N","","","","","","","99","","00","","","","9","1","","04"
"2023009370","05","1","SW ROOM 4012","","WASHINGTON DC","ZG","20260","US POSTAL","4123597822","","","","","","N","","","","","","","02","","00","","","","3","2","","08"
"2023075262","05","0","7135 CENTENNIAL PL","","NASHVILPE","TN","37209","WESTERN EXPRESS","8134063595","080000","","","","","N","","","","","","","01","","00","","","","1","1","00911412","08"
"2023035855","02","98","632 HUNT VALLEY CIR","","NEW KENSINGTON","PA","15068","SWANK CONSTRUCTION COMPANY LLC","7243232367","","","","","","","","","","","","","","","00","","","","3","4","00000000","02"
"2024000938","03","7","200 RANGOS LN","","WASHINGTON","PA","15301","WASTE MANAGEMENT OF PA","4124998452","073280","","","","","N","","","","","","","01","","00","","","","2","2","00344050","04"
"2023043683","02","1","1155 ALLEGHENY AVE","","OAKMONT","PA","15139","THERMO TWIN INDUSTRIES INC","6263168523","","","","","","N","","","","","","","99","","00","","","","9","3","","03"
"2023083946","02","1","573 BRADDOCK AVE","","PITTSBURGH","PA","15112","PRN TRANSIT SERVICE INC","4122470745","","","","","","N","","","","","","","99","","00","","","","9","1","","03"
"2023041021","02","3","5156 LEIPER ST","","PHILADELPHIA","PA","19124","J.O. FLEET SERVICE","2677526886","","","","","","N","","","","","","","99","","00","","","","9","2","","03"
"2023070883","02","1","10879 LANTANA CREST","","CLERMONT","FL","34711","JL NORTH EAST LOGISTICS, LLC","4078081071","026000","","","","","N","","","","","","","01","","00","","","","1","1","03464407","03"
"2023044429","03","4","17TH & ARSENAL BLV","ER 087-3520,","HARRISBURG","PA","17120","PENNDOT","4125845484","","","","","","N","","","","","","","99","","00","","","","9","2","","04"
"2023082684","99","1","20 OLD DOMINION WAY","","EIGHTY FOUR","PA","15330","OLD DOMINION INC","7242226353","080000","","","","","N","","","","","","","02","","00","","","","9","2","00090849","08"
"2023101031","02","1","1305 MURIEL ST","","PITTSBURGH","PA","15203","PITTSBURGH BOARD OF EDUCATION","4125295155","","","","","","N","","","","","","","99","","00","","","","9","2","","03"
"2023092409","04","4","101 DUQUESNE BLVD","","DUQUESNE","PA","15110","COLE AND COLE TRUCKING","4122777395","073280","","","","","N","","","","","","","01","","00","","","","2","2","01669651","04"
"2023100843","02","3","100 DEER CREEK ROAD","","SAXONBURG","PA","16056","A.F. BIERNESSER CONSTRUCTION","7248166077","010000","","","","","N","","","","","","","99","","00","","","","2","1","99999999","03"
"2023100843","02","4","109 DARK HOLLOW RD","","OAKMONT","PA","15139","ANTHONY FOLINO CONSTRUCTION","4128202800","026000","","","","","N","","","","","","","99","","00","","","","2","2","00141397","03"
"2023100843","02","3","400 MOSITES WAY","","PITTSBURGH","PA","15205","MOSITES","4129232255","009000","","","","","N","","","","","","","99","","00","","","","2","3","00363872","02"
"2023108229","03","5","PO BOX 69","","ZELIENOPLE","PA","16063","JJ KENNEDY INC, LAURIE TRANSIT L","7244526260","","","","","","N","","","","","","","01","","00","","","","1","1","01216585","04"
"2023061610","02","1","2727 N CENTRAL AVENUE 3","","SOUTH PHOENIX","AZ","85004","U HAUL COMPANY OF ARIZONA","4123615580","014050","","","","","N","","","","","","","","9999999","00","","","","1","2","99999999","03"
"2023112453","02","1","2718 CHURCHVIEW AVENUE","","BRENTWOOD","PA","15227","MARK NIX","9999999999","","","","","","N","","","","","","","99","","00","","","","9","2","","03"
"2023116188","99","3","1787 S EIGHTY EIGHT RD","","GREENSBORO","PA","15338","CHARLIE GRACE ENTERPRISES","3049187030","080000","","","","","N","","","","","","","99","","00","","","","9","1","03764740","09"
"2023117777","02","1","2560 BROWNSVILLE RD","","SOUTH PARK","PA","15129","US POSTAL SERVICE","4128350408","","","","","","N","","","","","","","99","","00","","","","3","1","","03"
"2023075734","03","1","1021 BROAD ST","","NORTH VERSAILL","PA","15137","FIRE DEPARTMENT OF NORTH VERSAIL","4128239666","","","","","","N","","","","","","","99","","00","","","","9","1","","04"
"2023028089","02","8","1825 LIVERPOOL ST","","PITTSBURGH","PA","15233","PITTSBURGH TRANSPORTATION GROUP","4125353155","","","","","","N","","","","","","","01","","00","","","","9","2","","15"
